Країна,Обсяг імпорту послуг
Австрія,112499.9
Бельгія,153136.8
Болгарія,27033.9
Греція,10517.6
Данія,79973.7
Естонія,46302.4
Ірландія,262398.9
Іспанія,36083.1
Італія,40912.2
Кіпр,238646.4
Латвія,42833.4
Литва,3880.7
Люксембург,67065.3
Мальта,116311.7
Нідерланди,112471.0
Німеччина,420218.8
Польща,201003.0
Португалія,3814.8
Румунія,21679.6
Словаччина,24071.5
Словенія,8768.8
Великобританія,519678.3
Угорщина,58238.6
Фінляндія,35492.6
Франція,130556.2
Хорватія,7297.2
Чехія,54003.8
Швеція,57217.3
